studentnumber,gender,race,conservatism,residence,collegeyrs,debt,famincome,liveinwestwood,ownpet,sleephrs,pizzacost,pizzawilling,mealsperwk,drinksperwk,weedusage,likemath,likestats10,gradestats10,morestats,moreprogramming,gym,movies,sunglasses,emailtime,lastdigit,rowsinfront
1,1,2,2,2,2,0,400000,1,0,8,7,10,4,1,2,4,2,6,0,0,2,1,5,0,6,8
2,1,2,1,2,3,20000,50000,0,1,7,8,15,4,0,0,4,5,6,0,0,3,2,4,3,9,0
3,2,6,3,1,1,20000,300000,0,1,6,4,3,0,0,0,3,4,6,0,0,3,1,3,2,5,7
4,1,5,2,1,2,0,300000,1,0,8,2,2,2,1,3,3,4,5,1,1,0,0,5,0,6,1
5,1,4,2,1,3,0,50000,1,1,6,7,0,1,0,0,3,4,5,1,1,3,3,5,1,2,2
6,1,4,1,1,1,0,35000,0,1,7,3,0,1,0,0,3,4,5,0,0,0,2,5,1,2,1
7,1,4,3,3,3,6000,0,1,0,6,6,2,1,0,0,4,3,6,1,1,3,0,4,0,5,1
8,1,4,2,1,3,0,50000,0,1,5,7,10,0,1,4,4,3,6,0,0,2,0,2,0,4,1
9,1,4,2,1,2,0,42000,1,0,6,3,2,1,0,0,3,4,6,1,0,0,1,2,1,1,1
10,1,1,1,1,4,0,30000,1,1,9,8,12,4,0,5,4,4,5,0,1,0,2,4,0.5,2,2
11,2,3,2,1,3,0,67000,1,0,4,4,1,1,0,0,2,1,5,0,0,0,0,5,1,4,3
12,2,5,1,1,3,0,20000,0,0,5,1.1,3,0,0,0,3,3,6,0,0,0,0,5,1.5,5,0
13,1,5,1,1,2,0,18000,1,0,6,4,0,1,0,0,4,4,6,1,1,2,1,2,1,3,6
14,1,2,2,1,2,0,200000,0,0,8,7.5,3,4,0,2,3,4,5,0,0,0,1,5,1,8,10
15,1,1,2,1,2,0,100000,1,0,8,8,3,0,1,2,3,1,2,0,0,5,2,4,0,9,10
16,1,1,3,2,4,6500,170211,1,0,4,7,5,1,0,0,3,1,6,0,0,0,2,5,1.5,5,6
17,2,2,1,1,3,10000,400000,1,0,7,5,15,2,1,4,4,4,5,1,1,5,5,5,0.5,4,5
18,2,5,3,2,2,0,250000,1,0,6,6,5.5,2,0,0,5,5,5,1,1,2,3,5,1,8,3
19,1,5,1,1,1,0,300000,1,0,6,4,2,4,0,0,3,4,6,1,1,3,3,5,0.5,5,3
20,1,2,3,2,3,0,300000,1,1,7,6,6,3,2,2,1,1,4,0,0,3,5,5,0,1,8
21,1,2,1,3,2,0,140000,0,1,7,4,4,4,2,5,4,5,6,1,1,2,3,5,3,5,0
22,1,3,1,1,2,0,250000,1,0,6,7,1,0,1,4,2,4,5,0,0,4,3,6,1,5,6
23,2,4,2,1,4,0,60000,0,0,8,3,1,0,3,0,5,5,6,1,1,0,0,5,0,4,10
24,1,5,3,1,1,0,220000,1,1,7,4,5,0,0,0,3,4,6,1,1,0,3,5,1,8,6
25,1,3,2,1,3,0,50000,1,0,6,6,7,3,1,0,1,3,4,1,1,0,0,5,0,5,4
26,1,5,1,1,2,4000,25000,0,0,6,8,2,0,0,0,1,3,3,0,0,0,1,5,0,3,2
27,2,5,3,3,4,0,20000,1,0,7,2,1,3,0,2,5,4,6,1,1,3,0,6,0.5,2,10
28,1,5,2,3,3,0,200000,1,0,7,12,5,4,1,3,3,1,4,0,0,4,1,5,0,5,83
29,1,2,3,1,2,0,170211,1,0,6,6,10,1,0,0,3,4,6,0,0,6,2,4,1,5,3
30,1,6,2,1,3,15000,300000,1,0,7,7,15,2,1,2,5,4,6,1,1,3,0,5,0.5,8,7
31,1,1,2,1,3,0,120000,1,1,6,4,3,3,2,4,2,2,5,0,0,1,2,3,2,1,6
32,1,4,2,1,4,0,90000,1,1,6,3,3,1,1,0,4,3,5,0,0,0,1,6,1,6,2
33,2,4,1,1,3,0,200000,1,1,6,4,4,1,1,4,1,2,4,0,0,2,2,3,0,8,11
34,2,8,1,1,3,22000,200000,1,0,7,7,3,0,2,3,2,4,6,0,0,3,0,4,0,1,7
35,1,2,3,3,2,500,30000,0,0,6,7,8,1,0,0,3,3,6,0,0,1,2,5,2,7,2
36,1,4,2,1,4,0,50000,1,1,5,4,5,0,0,0,2,3,3,0,0,2,2,5,1,7,3
37,1,5,2,3,3,10000,40000,1,0,7,7,5,0,0,0,2,3,6,0,0,0,2,4,1,6,0
38,2,2,4,2,1,0,200000,1,0,6,8,8,1,0,0,2,4,5,1,1,4,0,5,3,7,6
39,1,4,2,1,2,0,50000,1,1,5,6,8,2,0,0,2,5,4,0,0,0,2,1,1.5,5,6
40,1,6,3,1,2,0,300000,1,0,5,4,2,1,0,0,1,3,5,0,0,0,4,5,1,7,5
41,1,5,3,2,2,0,100000,1,0,7,9,5,3,0,1,3,3,6,0,0,3,1,5,1,9,6
42,1,6,2,1,2,0,170211,1,1,6,10,0,1,1,3,2,2,4,0,0,5,2,4,1,9,6
43,1,5,2,3,3,0,300000,0,0,8,1.99,1.99,2,0,0,4,3,6,1,1,0,1,5,2,3,6
44,1,1,2,1,2,5000,400000,1,0,7,7,0,1,1,2,1,3,6,1,1,1,2,5,0,1,7
45,1,6,3,1,2,0,100000,1,1,7,10,5,1,0,0,1,4,6,0,0,0,1,5,1,5,3
46,2,5,3,3,3,1.00E+05,100000,1,0,7,5,2.5,1,0,3,5,3,6,1,0,4,6,4,0.5,2,6
47,1,1,2,1,2,0,0,1,1,5,25,50,2,1,3,3,3,6,1,1,1,2,3,4,1,2
48,1,2,2,1,2,0,90000,1,1,7,8,8,2,0,0,3,4,6,0,0,0,1,5,0,2,8
49,1,1,1,1,2,0,180000,1,0,9,4.5,0,4,1,0,2,4,6,1,0,0,0,5,0,1,5
50,1,2,2,1,2,0,400000,1,1,8,3,3,1,0,0,1,3,6,0,0,4,1,5,2,5,6
51,2,6,5,1,3,30000,1000000,0,1,6,6,5,1,1,0,3,3,6,1,1,0,0,1,1,2,5
52,1,5,1,1,3,0,80000,1,0,7,3,0,1,0,0,2,3,6,0,0,4,0,5,1,3,2
53,1,5,2,1,2,0,300000,0,0,7,6,7,0,1,3,3,3,5,0,0,0,4,5,2,7,3
54,1,4,2,1,2,0,60000,1,0,6,7,0,2,1,2,3,4,6,0,0,4,0,6,0,2,4
55,1,4,1,1,3,0,75000,0,1,6,2,5,1,1,2,3,2,6,1,1,3,1,4,12,2,5
56,1,2,1,1,2,0,0,0,0,7,3,3,0,0,0,1,1,6,0,0,0,5,4,0,3,0
57,2,5,2,1,3,10000,60000,1,1,4,5,8,1,3,4,4,2,3,1,0,2,1,2,5,3,10
58,1,5,3,3,2,0,150000,1,1,6,6,0,0,0,0,3,4,6,0,1,0,2,4,3,3,4
59,1,5,3,3,2,8000,500000,1,0,7,8,10,2,0,0,1,3,6,1,0,2,0,2,1.5,5,6
60,2,6,4,1,4,0,65000,0,0,6,3,5,2,0,0,5,5,6,1,1,3,3,6,0.5,1,11
61,2,5,2,3,3,0,170211,1,0,7,7,1,3,0,0,3,2,5,0,0,1,0,6,0.2,8,9
62,1,5,3,1,3,0,170211,0,1,10,2,3,0,0,0,2,4,5,0,0,0,0,5,1,5,9
63,1,2,1,1,2,0,270000,1,1,6,5,8,1,0,0,2,5,6,1,0,0,1,4,4,7,7
64,1,8,2,1,3,0,0,1,0,5,6,0,1,1,3,1,3,1,1,0,4,1,5,2,1,15
65,2,2,2,1,3,25000,80000,1,0,7,5,2,3,0,0,3,4,5,0,0,3,1,5,5,1,7
66,1,4,2,1,2,0,0,0,1,6,3,5,0,0,0,5,1,5,1,1,3,3,5,1,4,4
67,2,4,2,1,4,0,150000,1,1,6,5,7,1,1,4,4,5,5,0,1,1,1,5,2,1,3
68,1,5,3,3,3,20000,170211,0,1,7,10,2,1,0,0,3,3,5,0,0,0,0,5,12,1,11
69,2,5,3,3,2,6500,170211,1,0,7,6,5,3,1,0,2,4,6,0,0,4,1,4,3,8,6
70,2,1,2,1,4,50000,170211,1,0,4,5,2,0,1,0,3,3,5,0,0,2,5,6,0.5,9,10
71,1,5,2,3,3,150000,170211,1,0,7,7,7,1,0,0,1,2,6,0,0,1,0,3,2,7,6
72,2,5,3,3,3,0,200000,0,0,6,3,2,3,1,3,4,4,6,1,0,3,2,6,1,4,9
73,2,6,4,1,2,0,170211,0,1,6,6.5,9,1,0,0,4,5,6,0,0,5,2,6,0,5,3
74,1,5,2,3,3,0,15000,1,0,5,7,7,3,0,0,2,2,5,0,1,0,2,5,1,5,4
75,1,4,2,1,3,1000,78000,1,1,6,3,3,2,1,0,4,5,6,1,1,0,3,5,3,4,5
76,1,6,3,1,2,0,300000,0,0,6,5,5,1,0,0,3,3,6,0,0,3,3,4,0,3,4
77,2,1,3,2,3,7000,100000,0,0,7,7,3,1,0,0,1,2,5,0,0,4,0,4,1,3,7
78,1,5,2,1,2,0,200000,1,0,7,5,5,3,1,3,4,4,6,1,1,2,2,4,2,9,4
79,2,2,3,3,2,0,600000,1,1,5,6,9,3,3,0,3,1,6,1,1,4,1,4,1,5,3
80,1,3,2,1,2,0,75000,1,0,6,5,6,0,0,3,2,3,4,0,0,0,2,5,1.5,5,6
81,1,4,3,1,4,6500,170211,0,1,6,7,5,1,0,1,4,3,5,1,0,2,2,2,1.5,5,6
82,1,6,2,1,2,0,600000,1,1,7,8,10,1,1,2,4,3,5,0,0,0,2,5,1.5,5,6
